1,1,oks kak semangat iya,0,0,6,33,0
2,0,kaya orang bodoh bodoh sangat,0,0,8,49,0
3,1,umum lulus 100 sujud syukur langsung ambil bunga hampir langsung peluk cium air mata tak kuasa bendung mom this is my birthday present for,1,0,46,219,0
4,0,reformasi demokrasi negeri nyata tidak aku lebih pimpin tidak ambil contoh nya generasi muda tolak,7,0,44,252,0
5,0,macet macet perut kosong mampir soto betawi at gki pamulang pic ,0,0,18,89,0
6,0,nyata ganggu telinga malam mulut juru bicara perintah ali mochtar ngabalin perintah representasi tuhan muka bumi dekaden nalar demokrasi pandang biar kuasa istana tua,12,0,46,277,0
7,1,mas move on poto poto cerita nyobain face filter hengpong syanggih diajeng astri eka pertiwi gada orang gausah cari,5,0,28,154,0
8,1,balik cemburu selip kasih sayang cemburu hubung kadar wajar emotxsenyum,2,0,29,150,0
9,1,sayang beneran hadap cowok kaya ganteng pinter serba dlitu tetep tidak pindah,1,0,31,157,0
10,1,pagi mas nya duhjadi gaenak ucap met pagi netijen twitter emotxtawa ngomong-ngomong jauh alias darimana kota tinggal emotxtawa,4,0,34,169,0
11,0,efek pintu tol slip arah semanggi tutup macet parah polisi ngatur jagain jalur busway,2,0,33,153,0
12,0,shyok iya rw yalah kakak    kali emotxdatar rw emotxtawa ganti klam,0,0,22,95,0
13,1,nonton tidak tiket hana emotxsenyum hem malam sonichi bokuno taiyo nonton yu emotxsenyum penasaran,0,0,20,106,0
14,1,sebenernya tidak suka happy hati bikin pasang bahagia romantis,1,0,25,127,0
15,1,bikin cake ulang hasil bagus yeye emotxsenyum,0,0,10,49,0
16,0,pusing kana sirah na oge,0,0,6,29,0
17,1,orang tua iya anak ada sayang banget juang mati anak walopun capek pulang kerja mas pulang nanyain kembang anak,3,0,32,187,0
18,1,romantis manis manis dilakuin orang tg sayang neng bunga bunga emotxtawa ribu kupu kupu terbang perut ngeromantisin,14,0,39,213,2
19,0,lelah,0,0,4,18,0
20,0,iya jelasin sayang sahabat tidak percaya ngira tu cinta hei plis highlight sayang tu tidak melulu cinta cinta,4,0,45,217,0
21,1,mama takut putri manis jatuh luka sadar papa biar tatap jaga kayuh sepeda seksama putri kecil,12,0,34,205,2
22,1,oalah iyanih adik promosi olahraga main skiping kak murah,0,0,15,88,0
23,0,tidak paksa tidak busway gembel bleketek eek,2,2,16,77,0
24,0,kelas emerson laku kerna kebencianya lupa diketawain junjung son son gagal maning,1,0,25,157,0
25,0,ah sedih strong sel adit,0,0,8,46,0
26,1,cowok ganteng pergi solat jum at selamat solat jum at my someone,0,0,13,78,0
27,0,lumayan loh cuci,0,0,5,31,0
28,1,pakai pasar bayangkara pasar senggol pilih 1 pakai 2 3 4 syukur,5,0,45,209,0
29,1,gara gara ngopi dengar lagu lagu jaman jaman sd kaya tangga ello andien audy bikin playlist lagu angkat 2004 2005,4,0,31,158,1
30,1,katherine sofia ngrasa capek banget sma kerja minimal minggu banget ngasi reward me time manja,1,0,28,160,0
31,1,kelas 11 duduk bang langsung deg degan jatuh hati iomenit orang dulunya guakira freaky habis,0,0,31,157,0
32,1,amin mokasih iya enak emotxsenyum selamat ulang da ade sukses,0,0,15,67,0
33,1,asik bicara hasil perata bangun capai ekonomi banding bicara keburu calon belah keburu si gubernur a b,3,0,23,168,1
34,0,tolol didik kacung erti ibadah puasa takut lapar rakyat milik nikmat tanah liang lahatnya,3,5,37,189,0
35,0,tidak suka orang sombong tanah 7 hektar aset limpah saldo rekening 1-1 digit itu rekening investasi dubai diam diam,160,0,39,202,29
36,1,pimpin sejati rt anesasembiring love you jokowi,3,1,12,55,1
37,0,tolong maksud bukti guna resi transaksi transaksi transaksi supplier tidak double resi,4,0,40,229,0
38,1,kabar sehat emotxsenyum,0,0,6,17,0
39,0,njir,0,0,4,19,0
40,1,biar sepi izin sama ikat restu semesta sayang paruh hati,5,0,21,145,0
41,0,mustinya biarin bom pas tidur rapat ledak tidak rasa iya saudara laki tau alam laen amp,1,0,35,146,0
42,1,masuk bulan mensive baik tidak uang ramah perhati orang erti bat tidak nuntut bikin sayang bat,2,0,46,223,0
43,0,aduh mentang cantik nilai kurang orang senak iya sombong mbak cantik milik tuhan,0,0,19,122,0
44,1,moga tayang film 2-2menit antara tebar benih benih cinta tumbuh saudara umat manusia ansormajusatubarisan,5,0,28,188,0
45,1,with the girlfriend maaf bang dipinjem si eneng i need my long overdue dose of lexynes dinnerdate,6,0,23,110,2
46,0,sangat sakit mata baca salah dih cont,0,0,13,59,0
47,0,senyum ramah lohsama fansnya angkuh rodo ngadoh piengono nek tak rasakne sumpah wagu mas polah,2,2,28,149,0
48,0,teman egois penghianat x,0,0,11,53,0
49,1,god morning sayang have a nice day iya emotxsenyum,0,0,11,42,0
50,1,sayang gede banget sih kamugak asa iya asa kemarin lahir gede bawel banget,1,0,23,123,0
51,1,teman sma w hubung tidak pacar 2 mkanya gangguin orang barangkali knalan bilang kemren cari pasang ngeetiin tugas emotxtawa w,6,0,38,188,1
52,1,yaudahlah indah bahagia,0,0,8,40,0
53,1,pasti qarin emotxsenyum e emotxtawa bismilah emotxsenyum iyah rin       optimis okeuke,0,0,25,90,0
54,0,sesat banget ajar teori sosial kasih angka rumus bikin tidak nyaman jatuh orang tinggal kelas,2,0,38,214,0
55,1,tiada henti rnya q ucap syukut alhmdllh uang panitia kemarin alhmdllh trmkah bri brlmpah mski tak sbrpa inysllh lma-lma mmbukit amn,4,0,35,168,0
56,1,senang senang puas nya selagi muda,0,0,7,50,0
57,0,kalah saing ibuk balas smsnya banget      ,0,0,16,66,0
58,0,hp apan sih ai emotxtawa hpe v cie emotxtawa moga tular hp chandra lan tidak mah hpe,0,0,21,107,0
59,0,hidup zaman presiden hebat suharto beliau aman tenang masyarakat tidak tenang kaum pki kaum rampok kaum bandit kaum jabat negara otak kosong kaum tidak suka suharto,68,0,48,268,8
60,1,gudeg mbarek bu hj amad foto google sengaja biar teman teman bayang bagi indah,5,0,22,116,0
61,0,malu malu etika aspek hidup rakyat sanggah tunjuk lontar bersih tidak bersih,4,0,35,202,0
62,1,finya fly over keren habis at flyover summarecon bekas pic  http t co lcrnrorshg,4,0,18,90,0
63,1,congratulations selamat mildawati raih new silver leader moga lancar sukses paytren,22,0,21,141,1
64,1,ulfahmatswal google play lumayan bagus,0,0,7,43,0
65,1,w emotxtawa iya man iya hapy birthday iya pimpin gbynand atbfy emotxsenyum emotxsenyum emotxsenyum canda man,0,0,23,89,0
66,0,sedih si lnjut ko rom diam ah canda sedih emotxsedih,0,0,18,85,0
67,1,alhamdulillah listrik nyala warga takziah diam almarhum warga wafat terima kasih c,5,0,38,178,0
68,0,spv w tidur pulang subuh pagi w kerja tidur w brgkt rumah kdg 3 ketemu iya ngatain w posesif tidak tinggal pgn w makan lauk samyang,3,0,52,238,0
69,0,bekas sayang tidak elak 1 bekas panas banget 2 bekas weekend sore malam macet banget diatasin sih panas iya pakai ac ngindarin macet rencana jadwal rumah,11,0,52,264,1
70,1,avatar lucu emotxtawa,0,0,4,18,0
71,0,et jorok banget si bos,0,0,7,23,0
72,0,sakit siksa rindu sakit ngebatin nungu sakit sakit cinta,0,0,23,126,0
73,0,heaku kemarin hoak tetang pohon plastik kali akun ygdisebarkan facebook nol skaligus nonjok muka junjung sdr terima kasih,1,0,35,194,0
74,0,kdrt   kasar banting prlu emotxtawa emotxtawa tabok damnichan,0,0,17,93,0
75,1,alhamdulillah coba password daftar minggu tanggal 16 antri terimakasih,2,0,24,138,0
76,0,kali pakai fasilitas laboratorium kampus bayar uang bayar semster tidak doain buruk,2,0,30,175,0
77,1,kesini ramai sob tenang emotxsenyum,0,0,10,48,0
